precinct_id,county,precinct_name,precinct_number,ward,polling_location_ids,source,INTERNAL_notes,,,,
330010001,APPLING,1A,1A,,440010001,GA Secretary of State Elections Division,,,,,
330010002,APPLING,1A1,1A1,,440010002,GA Secretary of State Elections Division,,,,,
330010003,APPLING,1B,1B,,440010003,GA Secretary of State Elections Division,,,,,
330010004,APPLING,1C,1C,,440010004,GA Secretary of State Elections Division,,,,,
330010005,APPLING,1D,1D,,440010005,GA Secretary of State Elections Division,,,,,
330010006,APPLING,2,2,,440010006,GA Secretary of State Elections Division,,,,,
330010007,APPLING,3A,3A,,440010007,GA Secretary of State Elections Division,,,,,
330010008,APPLING,3B,3B,,440010008,GA Secretary of State Elections Division,,,,,
330010009,APPLING,3C,3C,,440010009,GA Secretary of State Elections Division,,,,,
330010010,APPLING,4A,4A,,440010010,GA Secretary of State Elections Division,,,,,
330010011,APPLING,4B,4B,,440010011,GA Secretary of State Elections Division,,,,,
330010012,APPLING,4C,4C,,440010012,GA Secretary of State Elections Division,,,,,
330010013,APPLING,4D,4D,,440010013,GA Secretary of State Elections Division,,,,,
330010014,APPLING,5A,5A,,440010014,GA Secretary of State Elections Division,,,,,
330010015,APPLING,5B,5B,,440010005,GA Secretary of State Elections Division,,,,,
330010016,APPLING,5C,5C,,440010015,GA Secretary of State Elections Division,,,,,
330030001,ATKINSON,AXSON,,,440030001,GA Secretary of State Elections Division,,,,,
330030002,ATKINSON,PEARSON CITY,,,440030002,GA Secretary of State Elections Division,,,,,
330030003,ATKINSON,PEARSON COUNTY,,,440030003,GA Secretary of State Elections Division,,,,,
330030004,ATKINSON,WILLACOOCHEE,,,440030004,GA Secretary of State Elections Division,,,,,
330050001,BACON,DOUGLAS,,,440050001,GA Secretary of State Elections Division,,,,,
330050002,BACON,NEW LACY,,,440050002,GA Secretary of State Elections Division,,,,,
330050003,BACON,TAYLOR,,,440050003,GA Secretary of State Elections Division,,,,,
330050004,BACON,WARE,,,440050004,GA Secretary of State Elections Division,,,,,
330050005,BACON,WARNOCK,,,440050005,GA Secretary of State Elections Division,,,,,
330070001,BAKER,ANNA,,,440070001,GA Secretary of State Elections Division,,,,,
330070002,BAKER,ELMODEL,,,440070002,GA Secretary of State Elections Division,,,,,
330070003,BAKER,HOGGARDS MILL,,,440070003,GA Secretary of State Elections Division,,,,,
330070004,BAKER,MILFORD,,,440070004,GA Secretary of State Elections Division,,,,,
330070005,BAKER,NEWTON,,,440070005,GA Secretary of State Elections Division,,,,,
330090001,BALDWIN,BODDIE,,,440090001,GA Secretary of State Elections Division,,,,,
330090002,BALDWIN,CITY HALL ANNEX,,,440090002,GA Secretary of State Elections Division,,,,,
330090003,BALDWIN,COOPERS,,,440090003,GA Secretary of State Elections Division,,,,,
330090004,BALDWIN,COURTHOUSE,,,440090004,GA Secretary of State Elections Division,,,,,
330090005,BALDWIN,EAST BALDWIN,,,440090005,GA Secretary of State Elections Division,,,,,
330090006,BALDWIN,EAST HARDWICK,,,440090006,GA Secretary of State Elections Division,,,,,
330090007,BALDWIN,FIRE DEPT,,,440090007,GA Secretary of State Elections Division,,,,,
330090008,BALDWIN,MERIWEATHER,,,440090008,GA Secretary of State Elections Division,,,,,
330090009,BALDWIN,NORTH BALDWIN,,,440090009,GA Secretary of State Elections Division,,,,,
330090010,BALDWIN,NORTH MILLEDGEVILLE,,,440090010,GA Secretary of State Elections Division,,,,,
330090011,BALDWIN,SCOTTSBORO,,,440090011,GA Secretary of State Elections Division,,,,,
330090012,BALDWIN,SOUTH MILLEDGEVILLE,,,440090012,GA Secretary of State Elections Division,,,,,
330090013,BALDWIN,WEST BALDWIN,,,440090013,GA Secretary of State Elections Division,,,,,
330090014,BALDWIN,WEST HARDWICK,,,440090014,GA Secretary of State Elections Division,,,,,
330110001,BANKS,ANDERSON,,,440110001,GA Secretary of State Elections Division,,,,,
330110002,BANKS,BALDWIN,,,440110002,GA Secretary of State Elections Division,,,,,
330110003,BANKS,BERLIN,,,440110003,GA Secretary of State Elections Division,,,,,
330110004,BANKS,BUSHVILLE,,,440110004,GA Secretary of State Elections Division,,,,,
330110005,BANKS,COLUMBIA,,,440110005,GA Secretary of State Elections Division,,,,,
330110006,BANKS,DAVIDS,,,440110006,GA Secretary of State Elections Division,,,,,
330110007,BANKS,GOLDEN HILL,,,440110007,GA Secretary of State Elections Division,,,,,
