vf_precinct_id,vf_precinct_county,vf_precinct_ward,vf_precinct_name,vf_precinct_code,vf_precinct_count
222461,EARLY,2,Damascus,D,318
222659,JASPER,3,289 - Smith/Jordan/Lazenby,289,168
221416,GWINNETT,4,107 - Cates O,107,544
222037,FULTON,2,ML02B,ML02B,623
221822,BURKE,2,0014 - North Waynesboro,14,1455
222345,CANDLER,3,Candler - 1736,1736,1522
221449,COWETA,4,26 - Thomas Crossroads,26,2035
221570,SUMTER,8,C3-27 - Rec Dept,C3-27,1597
221955,LAURENS,5,19 - Reedy Springs,19,418
22615,DAWSON,LRG,02 - Central,2,3461
221703,PIERCE,3,3A - St Johns/Blackshear,03A,756
221046,GWINNETT,4,012 - Berkshire B,12,2515
222789,MITCHELL,1,SC - Sale City,SC,222
222150,JOHNSON,1,1201 - Wrightsville,1201,1604
221652,CARROLL,,714A5 - County Admin Bldg,714A5,1190
221486,FLOYD,LRG,080 - North Carolina,80,978
22111,CHATHAM,5,5-3 C - Butler Presbyterian,5-3 C,551
22669,FULTON,4,SC05B,SC05B,2785
22483,DEKALB,4,EF - Evansdale Elem,EF,1678
222373,GORDON,LRG,1057 - Ranger,1057,361
22556,FULTON,,06K,06K,932
222004,WORTH,2,04 - Sumner,4,407
222722,MCINTOSH,4,1480 - Townsend,1480,307
221954,LEE,3,#7 SDA Church,7,482
222680,EMANUEL,2,1502 - Nunez,1502,227
22645,CHEROKEE,3,002 - Arnold Mill,2,1702
2286,COBB,5,CR01 - Chestnut Ridge 01,CR01,1218
22520,FORSYTH,5,24 - Sharon Forks,24,2102
22700,COBB,1,KE5B - Kennesaw 5b,KE5B,1443
222682,JASPER,3,293 - Hillsboro,293,200
22475,FORSYTH,2,19 - Old Atlanta,19,2298
222070,COLUMBIA,2,085 - Trinity Bapt Church,85,620
222613,BANKS,1,0004 - Bushville,4,325
221691,DEKALB,7,YA - Young Road,YA,792
22249,FULTON,,06H,06H,881
221333,BIBB,2,VV2 - Vineville 2,VV2,1253
22555,COBB,5,PO01 - Post Oak 01,PO01,1365
222811,TATTNALL,1,4 - Manassas,4,118
22146,DOUGHERTY,4,06 - Merry Acres Middle,6,1372
221304,WALKER,5,0917 - Center Post,917,1295
22672,DEKALB,4,LA - Lakeside High,LA,1478
22804,PUTNAM,5,106,106,603
221973,SCREVEN,2,10 - Sr Citizens Center,10,697
22805,COWETA,5,05 - Newnan,5,1700
221625,MITCHELL,,PE - Pelham,PE,1875
222243,DEKALB,7,GB - Glenhaven,GB,697
22939,DOUGHERTY,4,03 - Covenant Pres Church,3,1361
222586,PULASKI,7,East Precinct,EAST,573
222361,MORGAN,2,11 - West Road,11,287
22665,COLUMBIA,1,105 - Stevens Creek Elem,105,747
22164,FULTON,,06J,06J,1409
222704,APPLING,4,04A,04A,214
222106,BANKS,2,0010 - Homer,10,633
22144,FULTON,,02F1,02F1,1701
221466,COLUMBIA,1,109 - Stevens Creek Church,109,577
22281,DEKALB,1,AH - Ashford Parkside,AH,1470
222536,LEE,1,#1 Chokee,1,242
222809,APPLING,3,03B,03B,191
22561,ROCKDALE,,FS - Flat Shoals,FS,1722
222769,EARLY,4,Lucile,L,310
22984,NEWTON,5,25 - Hub,25,946
22293,DEKALB,3,BL - Bouldercrest Rd,BL,753
22505,HOUSTON,4,MILL - Miller Elementary School,MILL,1145
221414,CLAYTON,9,MO5 - Morrow 5,MO5,2011
22501,BIBB,2,VV1 - Vineville 1,VV1,1247
22337,FAYETTE,LRG,12 - Shakerag West,12,762
221833,FULTON,6,SC08F,SC08F,424
22575,RICHMOND,3,305,305,176
221222,CLAYTON,3,RD01 - Riverdale 1,RD01,967
22348,FULTON,7,SS04,SS04,1828
22414,DEKALB,6,RL - Rock Chapel Road,RL,1358
221342,CAMDEN,2,09 - East Kingsland,9,2678
22950,DOUGLAS,4,1259 - Winston,1259,768
221842,BIBB,3,GF4 - Godfrey 4,GF4,1195
22404,CHATHAM,3,3-13C - New Cov 7 Day A,3-13C,1077
222499,ELBERT,3,190 - Longstreet,190,325
